analysis_panel,state,STATEFP,state_name,method,buffer_m,nonwui_area_km2,intermix_area_km2,interface_area_km2,wui_area_km2,valid_area_km2,classification_path,classification_sha256
five_state_radius_sensitivity,CA,6,California,WUI-P,100,400569.852599999984,14065.902000000000,9329.541300000001,23395.443299999999,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0100m_SILVIS_GT75.tif,8b3623566c69bfb236ff48b45469ed58f6c6a95bbf1a4589693e775047c38d32
five_state_radius_sensitivity,CA,6,California,WUI-P,200,370755.680400000012,40674.486599999997,12535.128900000000,53209.615500000000,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0200m_SILVIS_GT75.tif,b4e0cbcea1c8b7f41b04ed0ee008f5f2cf9aaa905ffcb870c4b2defaaab2b56f
five_state_radius_sensitivity,CA,6,California,WUI-P,300,379248.912899999996,32859.238499999999,11857.144500000000,44716.383000000002,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0300m_SILVIS_GT75.tif,a58be6eaf87e961734b98d043e93c39fb1aa07249113b6eab830dfef9a7db119
five_state_radius_sensitivity,CA,6,California,WUI-P,400,386142.538500000024,26606.700900000000,11216.056500000001,37822.757400000002,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0400m_SILVIS_GT75.tif,776fe0d3ba275922a187993383a070855c1f474c74b10836240ee4a00b2f19ef
five_state_radius_sensitivity,CA,6,California,WUI-P,500,379826.078399999999,32233.419000000002,11905.798500000001,44139.217499999999,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0500m_SILVIS_GT75.tif,6aafa06a9f81aba1e5b5d6b02e6537dee5b050b87d7883f8e1dbd27c2d3c2c80
five_state_radius_sensitivity,CA,6,California,WUI-P,600,379274.730299999996,32778.629999999997,11911.935600000001,44690.565600000002,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0600m_SILVIS_GT75.tif,19d1404719901a16c4d6a2032d6efa57d57899379575faa49a9e81c6aaea6971
five_state_radius_sensitivity,CA,6,California,WUI-P,700,380114.040600000008,32095.637999999999,11755.617300000000,43851.255299999997,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0700m_SILVIS_GT75.tif,107a2e9756ee9a36f7b4d586da65eff435981ca64642825a4294a8a6413df0aa
five_state_radius_sensitivity,CA,6,California,WUI-P,800,377866.085399999982,34163.504099999998,11935.706399999999,46099.210500000001,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0800m_SILVIS_GT75.tif,1320981c4df2a2e1647f33bd8432dd1e90f08165532e14c4d50160faf2bb0e55
five_state_radius_sensitivity,CA,6,California,WUI-P,900,376867.655099999974,35114.192999999999,11983.447800000000,47097.640800000001,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0900m_SILVIS_GT75.tif,3b8833eb0ed601e3ed08f05f894b6f131f7658792b23e6ef9e0f697bf584378c
five_state_radius_sensitivity,CA,6,California,WUI-P,1000,376823.095199999982,35196.783300000003,11945.417400000000,47142.200700000001,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r1000m_SILVIS_GT75.tif,d59feb0bd37e2b312bee888f801c02d3f35582541ae16ba35fb88fa64d02586f
