state,STATEFP,state_name,method,buffer_m,nonwui_area_km2,intermix_area_km2,interface_area_km2,wui_area_km2,valid_area_km2,classification_path,classification_sha256
AL,1,Alabama,WUI-P,500,111025.445399999997,16722.321300000000,8019.657900000000,24741.979200000002,135767.424599999998,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4
AL,1,Alabama,WUI-S,500,95779.449900000007,26702.795699999999,13285.179000000000,39987.974699999999,135767.424599999998,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-S/WUI_S_AL_r0500m_SILVIS_GT75.tif,1a8f24ca14156d73ce8d32f1d736601db52e70900389c5b5416264aa57503ae2
AL,1,Alabama,WUI-Z,0,106011.595799999996,20784.624299999999,8971.204500000000,29755.828799999999,135767.424599999998,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/AL/WUI_Z_AL_KETCHPAW_GT50_class.tif,34fd1702029bdf64a1b198c4d21673c5b5f63e683d9dd54ac6db5947ae84233c
AR,5,Arkansas,WUI-P,500,113612.247900000002,16759.584899999998,7410.971700000000,24170.556600000000,137782.804499999998,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AR/rasters/WUI-P/WUI_P_AR_r0500m_SILVIS_GT75.tif,61a3db3712bc3d0869fda853b5b45da39ac438576f1c6a661482f6248ee4ceb4
AR,5,Arkansas,WUI-S,500,111941.952300000004,17012.276099999999,8828.576100000000,25840.852200000001,137782.804499999998,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AR/rasters/WUI-S/WUI_S_AR_r0500m_SILVIS_GT75.tif,b6e269c6beb53655dd6110cefc498648546cd139b4666e940fe61bea48c20d0c
AR,5,Arkansas,WUI-Z,0,122081.543999999994,10766.128500000001,4935.132000000000,15701.260500000000,137782.804499999998,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/AR/WUI_Z_AR_KETCHPAW_GT50_class.tif,0be0a743d1d65a6be82d765568d709a3f4072fae3491a2b27a85fd5dae52b879
AZ,4,Arizona,WUI-P,500,280285.236900000018,11352.345300000001,3582.318600000000,14934.663900000000,295219.900800000003,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AZ/rasters/WUI-P/WUI_P_AZ_r0500m_SILVIS_GT75.tif,21262d2dd67a01a85fd64b37b17b15f95dd37c02540bd6070f128bbba5a4d90f
AZ,4,Arizona,WUI-S,500,280096.754399999976,11458.138499999999,3665.007900000000,15123.146400000000,295219.900800000003,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AZ/rasters/WUI-S/WUI_S_AZ_r0500m_SILVIS_GT75.tif,1eca343dac949c4d23aba03ec11b654f787929553da037f0b61408d922c014b0
AZ,4,Arizona,WUI-Z,0,285158.843999999983,7154.026200000000,2907.030600000000,10061.056800000000,295219.900800000003,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/AZ/WUI_Z_AZ_KETCHPAW_GT50_class.tif,f89a761b82b29001baf56b87181b87ebf7a02a4aaee9c32328eef45aa9d06ce7
CA,6,California,WUI-P,500,379826.078399999999,32233.419000000002,11905.798500000001,44139.217499999999,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0500m_SILVIS_GT75.tif,6aafa06a9f81aba1e5b5d6b02e6537dee5b050b87d7883f8e1dbd27c2d3c2c80
CA,6,California,WUI-S,500,381928.878900000011,29273.156100000000,12763.260899999999,42036.417000000001,423965.295900000026,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-S/WUI_S_CA_r0500m_SILVIS_GT75.tif,873fe383c7904fa821129c97325bb2d0dfeda2fa5ce78837255128dec7407b5d
CA,6,California,WUI-Z,0,394086.287699999986,20263.266899999999,9615.741300000000,29879.008200000000,423965.295900000026,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/CA/WUI_Z_CA_KETCHPAW_GT50_class.tif,ce01d84cba996a7a33cfd98d136918468b6c1832c515150b4863cef6e5211d70
CO,8,Colorado,WUI-P,500,248671.185300000012,16356.241800000000,4577.068800000000,20933.310600000001,269604.495899999980,<PROJECT_ROOT>/step47_patch75_silvis_colorado_canary_20260729T034216Z/WUI_P_CO_r0500m_SILVIS_GT75_CANARY.tif,25433fd37a8922cd07cdc3b735ff6bfd5106859327b76b80c0f832767ba78eff
CO,8,Colorado,WUI-S,500,247547.706299999991,16188.054300000000,5868.735300000000,22056.789600000000,269604.495899999980,<PROJECT_ROOT>/step47_patch75_silvis_colorado_canary_20260729T034216Z/WUI_S_CO_r0500m_SILVIS_GT75_CANARY.tif,dfffcce3122bb6f2149c7cc2c8aadb1184c2c2b1481b43eddf604dfc930acc2b
CO,8,Colorado,WUI-Z,0,259210.216799999995,7190.431200000000,3203.847900000000,10394.279100000000,269604.495899999980,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/CO/WUI_Z_CO_KETCHPAW_GT50_class.tif,cdd86d650e22dc8c77bfaba22796463acf8fc958baafeb48b3a6ff1dbcba8271
CT,9,Connecticut,WUI-P,500,5777.763300000000,6665.417100000000,1914.930900000000,8580.348000000000,14358.111300000000,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/CT/rasters/WUI-P/WUI_P_CT_r0500m_SILVIS_GT75.tif,45abeffe0159fbf0cb711a568b9b942b465ed4fb34f34adec6dca0f681278158
CT,9,Connecticut,WUI-S,500,5597.312400000000,6809.286599999999,1951.512300000000,8760.798900000000,14358.111300000000,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/CT/rasters/WUI-S/WUI_S_CT_r0500m_SILVIS_GT75.tif,ed5950cfef1c661e286e309c8d1e2b33845c0fb10ceeef7d30e3a46ebe825e5c
CT,9,Connecticut,WUI-Z,0,5496.692400000000,7137.065700000000,1724.353200000000,8861.418900000001,14358.111300000000,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/CT/WUI_Z_CT_KETCHPAW_GT50_class.tif,0b65d91c81ef58bf48d3f13245719aacba518dbc351eb6af17a11258b70eba03
DC,11,District of Columbia,WUI-P,500,170.136900000000,6.891300000000,0.000000000000,6.891300000000,177.028200000000,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/DC/rasters/WUI-P/WUI_P_DC_r0500m_SILVIS_GT75.tif,a426197d2489f674504bc000e257e97053feee2a415be9954fb57e9282296603
DC,11,District of Columbia,WUI-S,500,171.121500000000,5.906700000000,0.000000000000,5.906700000000,177.028200000000,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/DC/rasters/WUI-S/WUI_S_DC_r0500m_SILVIS_GT75.tif,d52b060d3951fb427f97217c3e0399e7b6ad2f9db8524007d6285a70f5b10318
DC,11,District of Columbia,WUI-Z,0,175.186800000000,1.841400000000,0.000000000000,1.841400000000,177.028200000000,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/DC/WUI_Z_DC_KETCHPAW_GT50_class.tif,608908f0242fab34cc6523d8d832a7e8518ba087170fdc963471fc1fde2ddd6a
DE,10,Delaware,WUI-P,500,5327.388000000000,802.960200000000,315.577800000000,1118.538000000000,6445.925999999999,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/DE/rasters/WUI-P/WUI_P_DE_r0500m_SILVIS_GT75.tif,c119ca3ded673c75fdd70d5a3dd0f056500f0371a8b0208a3952895ad1dd67c9
DE,10,Delaware,WUI-S,500,5398.908300000000,735.696900000000,311.320800000000,1047.017700000000,6445.925999999999,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/DE/rasters/WUI-S/WUI_S_DE_r0500m_SILVIS_GT75.tif,25e6eb1ec95cc721688274b2e44917ece6b6e5f23bc8226359d061d9e74f63c1
DE,10,Delaware,WUI-Z,0,5358.032099999999,770.964300000000,316.929600000000,1087.893900000000,6445.925999999999,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/DE/WUI_Z_DE_KETCHPAW_GT50_class.tif,63fda2360df3a799fc5f2134aa2370557ab138c47523f4e42ae24276b647ff17
FL,12,Florida,WUI-P,500,143775.300599999988,27117.078300000001,14042.034000000000,41159.112300000001,184934.412899999996,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/FL/rasters/WUI-P/WUI_P_FL_r0500m_SILVIS_GT75.tif,89190934e2fdae78061545a6361297d33749f3a625579eda130a7b419663f84f
FL,12,Florida,WUI-S,500,156246.155100000004,16381.274400000000,12306.983399999999,28688.257799999999,184934.412899999996,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/FL/rasters/WUI-S/WUI_S_FL_r0500m_SILVIS_GT75.tif,05172abd3dcd76403c32036a745ba1cbe9db8f2881f9868cff226452068f4fc2
FL,12,Florida,WUI-Z,0,158402.617200000008,15999.554700000001,10532.241000000000,26531.795699999999,184934.412899999996,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/FL/WUI_Z_FL_KETCHPAW_GT50_class.tif,7724229d701a2801f1f351d919b0801c85961e43c87e24397fabe7f4a389e693
GA,13,Georgia,WUI-P,500,115313.970600000001,27093.577499999999,11497.401000000000,38590.978499999997,153904.949099999998,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/GA/rasters/WUI-P/WUI_P_GA_r0500m_SILVIS_GT75.tif,efc029a9514af08a25a06a0226a93c2bd0ffe598b13ce981ff3cd3cbc43b9e6e
GA,13,Georgia,WUI-S,500,103478.684399999998,34279.953300000001,16146.311400000001,50426.264700000000,153904.949099999998,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/GA/rasters/WUI-S/WUI_S_GA_r0500m_SILVIS_GT75.tif,7e2cce7ad24b6c106ec847051dab6d1077e68a3670fc620e2ca4f0a14d02d65c
GA,13,Georgia,WUI-Z,0,114307.841700000004,29171.716199999999,10425.391200000000,39597.107400000001,153904.949099999998,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/GA/WUI_Z_GA_KETCHPAW_GT50_class.tif,47843719a74305d424631a358eb99ff97986eeaa0fa94aacf8f0c875b1170120
IA,19,Iowa,WUI-P,500,143404.022700000001,1909.522800000000,432.215100000000,2341.737900000000,145745.760600000009,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/IA/rasters/WUI-P/WUI_P_IA_r0500m_SILVIS_GT75.tif,e7e946c923d6b883d3c28010ef1fd39a9d9200aff2f51791a25dacd4c9f94665
IA,19,Iowa,WUI-S,500,142789.114800000010,2194.127100000000,762.518700000000,2956.645800000000,145745.760600000009,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/IA/rasters/WUI-S/WUI_S_IA_r0500m_SILVIS_GT75.tif,76cbf960990d313343547ad54eb4a8b72403cb964e65fa8b9662d93b2678f482
IA,19,Iowa,WUI-Z,0,144678.603600000002,864.574200000000,202.582800000000,1067.157000000000,145745.760600000009,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/IA/WUI_Z_IA_KETCHPAW_GT50_class.tif,9e1fa29a5a49aa06e3d57197f5fffe4278c42ccff9439c832f09988e561c2d76
ID,16,Idaho,WUI-P,500,203419.689299999998,7780.474800000000,5241.276000000000,13021.750800000000,216441.440100000007,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/ID/rasters/WUI-P/WUI_P_ID_r0500m_SILVIS_GT75.tif,ab4bf59942c706e28844c31ebaf3334dd2961f1e045bc6283bfbca6d96f8b305
ID,16,Idaho,WUI-S,500,204370.191900000005,6958.988100000000,5112.260100000000,12071.248200000000,216441.440100000007,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/ID/rasters/WUI-S/WUI_S_ID_r0500m_SILVIS_GT75.tif,fabeabdb57966836f2ce8ce9e745ddcc62ec8318f8ccf295ee6a829cf59dc0cf
