analysis_panel,state,method,buffer_m,Total_struct,Intermix_struct,Interface_struct,WUI_struct
five_state_radius_sensitivity,CA,WUI-P,100,27842701.000000000000,1361552.000000000000,8471246.000000000000,9832798.000000000000
five_state_radius_sensitivity,CA,WUI-P,200,27842701.000000000000,1575486.000000000000,8360699.000000000000,9936185.000000000000
five_state_radius_sensitivity,CA,WUI-P,300,27842701.000000000000,1551661.000000000000,8247465.000000000000,9799126.000000000000
five_state_radius_sensitivity,CA,WUI-P,400,27842701.000000000000,1567886.000000000000,8154294.000000000000,9722180.000000000000
five_state_radius_sensitivity,CA,WUI-P,500,27842701.000000000000,1706124.000000000000,8057189.000000000000,9763313.000000000000
five_state_radius_sensitivity,CA,WUI-P,600,27842701.000000000000,1770527.000000000000,7982345.000000000000,9752872.000000000000
five_state_radius_sensitivity,CA,WUI-P,700,27842701.000000000000,1821516.000000000000,7909392.000000000000,9730908.000000000000
five_state_radius_sensitivity,CA,WUI-P,800,27842701.000000000000,1913842.000000000000,7817986.000000000000,9731828.000000000000
five_state_radius_sensitivity,CA,WUI-P,900,27842701.000000000000,1977005.000000000000,7751567.000000000000,9728572.000000000000
five_state_radius_sensitivity,CA,WUI-P,1000,27842701.000000000000,2032104.000000000000,7684618.000000000000,9716722.000000000000
five_state_radius_sensitivity,CA,WUI-S,100,11522302.000000000000,681433.000000000000,4007837.000000000000,4689270.000000000000
five_state_radius_sensitivity,CA,WUI-S,200,11522302.000000000000,807494.000000000000,3886032.000000000000,4693526.000000000000
five_state_radius_sensitivity,CA,WUI-S,300,11522302.000000000000,857167.000000000000,3817907.000000000000,4675074.000000000000
five_state_radius_sensitivity,CA,WUI-S,400,11522302.000000000000,883685.000000000000,3760363.000000000000,4644048.000000000000
five_state_radius_sensitivity,CA,WUI-S,500,11522302.000000000000,948266.000000000000,3699239.000000000000,4647505.000000000000
five_state_radius_sensitivity,CA,WUI-S,600,11522302.000000000000,980810.000000000000,3654764.000000000000,4635574.000000000000
five_state_radius_sensitivity,CA,WUI-S,700,11522302.000000000000,1007374.000000000000,3611774.000000000000,4619148.000000000000
five_state_radius_sensitivity,CA,WUI-S,800,11522302.000000000000,1053817.000000000000,3559485.000000000000,4613302.000000000000
five_state_radius_sensitivity,CA,WUI-S,900,11522302.000000000000,1081573.000000000000,3525350.000000000000,4606923.000000000000
five_state_radius_sensitivity,CA,WUI-S,1000,11522302.000000000000,1107264.000000000000,3490932.000000000000,4598196.000000000000
five_state_radius_sensitivity,CO,WUI-P,100,7738371.000000000000,766792.000000000000,2690038.000000000000,3456830.000000000000
five_state_radius_sensitivity,CO,WUI-P,200,7738371.000000000000,830151.000000000000,2638676.000000000000,3468827.000000000000
five_state_radius_sensitivity,CO,WUI-P,300,7738371.000000000000,839630.000000000000,2592890.000000000000,3432520.000000000000
five_state_radius_sensitivity,CO,WUI-P,400,7738371.000000000000,829760.000000000000,2555165.000000000000,3384925.000000000000
five_state_radius_sensitivity,CO,WUI-P,500,7738371.000000000000,873657.000000000000,2511640.000000000000,3385297.000000000000
five_state_radius_sensitivity,CO,WUI-P,600,7738371.000000000000,905910.000000000000,2472289.000000000000,3378199.000000000000
five_state_radius_sensitivity,CO,WUI-P,700,7738371.000000000000,931360.000000000000,2436705.000000000000,3368065.000000000000
five_state_radius_sensitivity,CO,WUI-P,800,7738371.000000000000,969604.000000000000,2392558.000000000000,3362162.000000000000
five_state_radius_sensitivity,CO,WUI-P,900,7738371.000000000000,999859.000000000000,2359396.000000000000,3359255.000000000000
five_state_radius_sensitivity,CO,WUI-P,1000,7738371.000000000000,1028557.000000000000,2323639.000000000000,3352196.000000000000
five_state_radius_sensitivity,CO,WUI-S,100,2185291.000000000000,343598.000000000000,820467.000000000000,1164065.000000000000
five_state_radius_sensitivity,CO,WUI-S,200,2185291.000000000000,368028.000000000000,794843.000000000000,1162871.000000000000
five_state_radius_sensitivity,CO,WUI-S,300,2185291.000000000000,361912.000000000000,779743.000000000000,1141655.000000000000
five_state_radius_sensitivity,CO,WUI-S,400,2185291.000000000000,342643.000000000000,765001.000000000000,1107644.000000000000
five_state_radius_sensitivity,CO,WUI-S,500,2185291.000000000000,356502.000000000000,750902.000000000000,1107404.000000000000
five_state_radius_sensitivity,CO,WUI-S,600,2185291.000000000000,355217.000000000000,736579.000000000000,1091796.000000000000
five_state_radius_sensitivity,CO,WUI-S,700,2185291.000000000000,350566.000000000000,722097.000000000000,1072663.000000000000
five_state_radius_sensitivity,CO,WUI-S,800,2185291.000000000000,359518.000000000000,706712.000000000000,1066230.000000000000
five_state_radius_sensitivity,CO,WUI-S,900,2185291.000000000000,364755.000000000000,695265.000000000000,1060020.000000000000
five_state_radius_sensitivity,CO,WUI-S,1000,2185291.000000000000,368416.000000000000,683506.000000000000,1051922.000000000000
five_state_radius_sensitivity,FL,WUI-P,100,29264877.000000000000,1768403.000000000000,6994627.000000000000,8763030.000000000000
five_state_radius_sensitivity,FL,WUI-P,200,29264877.000000000000,1856162.000000000000,6876582.000000000000,8732744.000000000000
five_state_radius_sensitivity,FL,WUI-P,300,29264877.000000000000,1894501.000000000000,6771670.000000000000,8666171.000000000000
five_state_radius_sensitivity,FL,WUI-P,400,29264877.000000000000,1935892.000000000000,6682882.000000000000,8618774.000000000000
five_state_radius_sensitivity,FL,WUI-P,500,29264877.000000000000,2043561.000000000000,6572662.000000000000,8616223.000000000000
five_state_radius_sensitivity,FL,WUI-P,600,29264877.000000000000,2095736.000000000000,6503121.000000000000,8598857.000000000000
five_state_radius_sensitivity,FL,WUI-P,700,29264877.000000000000,2141358.000000000000,6437925.000000000000,8579283.000000000000
five_state_radius_sensitivity,FL,WUI-P,800,29264877.000000000000,2201614.000000000000,6358092.000000000000,8559706.000000000000
five_state_radius_sensitivity,FL,WUI-P,900,29264877.000000000000,2239683.000000000000,6304507.000000000000,8544190.000000000000
five_state_radius_sensitivity,FL,WUI-P,1000,29264877.000000000000,2278107.000000000000,6252302.000000000000,8530409.000000000000
five_state_radius_sensitivity,FL,WUI-S,100,7260257.000000000000,275954.000000000000,1834845.000000000000,2110799.000000000000
five_state_radius_sensitivity,FL,WUI-S,200,7260257.000000000000,332488.000000000000,1781053.000000000000,2113541.000000000000
