state,method,buffer_m,Total_struct,Intermix_struct,Interface_struct,WUI_struct
AL,WUI-P,500,4638077.000000000000,724754.000000000000,1380037.000000000000,2104791.000000000000
AL,WUI-S,500,2448543.000000000000,499537.000000000000,867302.000000000000,1366839.000000000000
AR,WUI-P,500,4232942.000000000000,754677.000000000000,1008995.000000000000,1763672.000000000000
AR,WUI-S,500,1564959.000000000000,297148.000000000000,392043.000000000000,689191.000000000000
AZ,WUI-P,500,8294252.000000000000,1057424.000000000000,2881628.000000000000,3939052.000000000000
AZ,WUI-S,500,2729818.000000000000,357319.000000000000,1029822.000000000000,1387141.000000000000
CA,WUI-P,500,27842701.000000000000,1706124.000000000000,8057189.000000000000,9763313.000000000000
CA,WUI-S,500,11522302.000000000000,948266.000000000000,3699239.000000000000,4647505.000000000000
CO,WUI-P,500,7738371.000000000000,873657.000000000000,2511640.000000000000,3385297.000000000000
CO,WUI-S,500,2185291.000000000000,356502.000000000000,750902.000000000000,1107404.000000000000
CT,WUI-P,500,1625159.000000000000,305042.000000000000,423476.000000000000,728518.000000000000
CT,WUI-S,500,1205996.000000000000,294989.000000000000,343112.000000000000,638101.000000000000
DC,WUI-P,500,309367.000000000000,431.000000000000,0.000000000000,431.000000000000
DC,WUI-S,500,66540.000000000000,131.000000000000,0.000000000000,131.000000000000
DE,WUI-P,500,1683145.000000000000,88606.000000000000,77189.000000000000,165795.000000000000
DE,WUI-S,500,348996.000000000000,18011.000000000000,16863.000000000000,34874.000000000000
FL,WUI-P,500,29264877.000000000000,2043561.000000000000,6572662.000000000000,8616223.000000000000
FL,WUI-S,500,7260257.000000000000,420434.000000000000,1672061.000000000000,2092495.000000000000
GA,WUI-P,500,7118722.000000000000,940423.000000000000,1305120.000000000000,2245543.000000000000
GA,WUI-S,500,3968969.000000000000,793579.000000000000,1009836.000000000000,1803415.000000000000
IA,WUI-P,500,2907778.000000000000,43954.000000000000,33496.000000000000,77450.000000000000
IA,WUI-S,500,2066228.000000000000,31595.000000000000,35463.000000000000,67058.000000000000
ID,WUI-P,500,1978943.000000000000,245397.000000000000,597381.000000000000,842778.000000000000
ID,WUI-S,500,937662.000000000000,141592.000000000000,285283.000000000000,426875.000000000000
IL,WUI-P,500,5065440.000000000000,79345.000000000000,185639.000000000000,264984.000000000000
IL,WUI-S,500,5175317.000000000000,88240.000000000000,200723.000000000000,288963.000000000000
IN,WUI-P,500,9092035.000000000000,406420.000000000000,325329.000000000000,731749.000000000000
IN,WUI-S,500,3363606.000000000000,179387.000000000000,154459.000000000000,333846.000000000000
KS,WUI-P,500,2230514.000000000000,104735.000000000000,306654.000000000000,411389.000000000000
KS,WUI-S,500,1605372.000000000000,128647.000000000000,210688.000000000000,339335.000000000000
KY,WUI-P,500,3952786.000000000000,451610.000000000000,357117.000000000000,808727.000000000000
KY,WUI-S,500,2411676.000000000000,428177.000000000000,341025.000000000000,769202.000000000000
LA,WUI-P,500,3122934.000000000000,534379.000000000000,1007221.000000000000,1541600.000000000000
LA,WUI-S,500,2170408.000000000000,295397.000000000000,704768.000000000000,1000165.000000000000
MA,WUI-P,500,4151549.000000000000,417996.000000000000,984010.000000000000,1402006.000000000000
MA,WUI-S,500,2096528.000000000000,379109.000000000000,657222.000000000000,1036331.000000000000
MD,WUI-P,500,7840578.000000000000,737784.000000000000,999742.000000000000,1737526.000000000000
MD,WUI-S,500,1622207.000000000000,175610.000000000000,237650.000000000000,413260.000000000000
ME,WUI-P,500,1543870.000000000000,717194.000000000000,554377.000000000000,1271571.000000000000
ME,WUI-S,500,752107.000000000000,389019.000000000000,258348.000000000000,647367.000000000000
MI,WUI-P,500,6066616.000000000000,331032.000000000000,299989.000000000000,631021.000000000000
MI,WUI-S,500,4967028.000000000000,698887.000000000000,621029.000000000000,1319916.000000000000
MN,WUI-P,500,5093673.000000000000,454133.000000000000,419035.000000000000,873168.000000000000
MN,WUI-S,500,2898887.000000000000,298099.000000000000,288085.000000000000,586184.000000000000
MO,WUI-P,500,2140895.000000000000,85564.000000000000,93573.000000000000,179137.000000000000
MO,WUI-S,500,3178524.000000000000,344490.000000000000,316753.000000000000,661243.000000000000
MS,WUI-P,500,3494685.000000000000,1031078.000000000000,1021340.000000000000,2052418.000000000000
MS,WUI-S,500,1502670.000000000000,410110.000000000000,468537.000000000000,878647.000000000000
MT,WUI-P,500,1877883.000000000000,417584.000000000000,747291.000000000000,1164875.000000000000
MT,WUI-S,500,772491.000000000000,209271.000000000000,320720.000000000000,529991.000000000000
NC,WUI-P,500,17807246.000000000000,3647466.000000000000,3575042.000000000000,7222508.000000000000
NC,WUI-S,500,4666625.000000000000,1002090.000000000000,986674.000000000000,1988764.000000000000
ND,WUI-P,500,1369483.000000000000,106629.000000000000,130947.000000000000,237576.000000000000
ND,WUI-S,500,561098.000000000000,67618.000000000000,59273.000000000000,126891.000000000000
NE,WUI-P,500,2200535.000000000000,72860.000000000000,173485.000000000000,246345.000000000000
NE,WUI-S,500,1183728.000000000000,94115.000000000000,135950.000000000000,230065.000000000000
NH,WUI-P,500,659061.000000000000,343547.000000000000,184483.000000000000,528030.000000000000
NH,WUI-S,500,565193.000000000000,284040.000000000000,177048.000000000000,461088.000000000000
NJ,WUI-P,500,4572044.000000000000,315682.000000000000,964271.000000000000,1279953.000000000000
NJ,WUI-S,500,2537032.000000000000,204371.000000000000,610244.000000000000,814615.000000000000
NM,WUI-P,500,1990541.000000000000,463264.000000000000,940000.000000000000,1403264.000000000000
NM,WUI-S,500,1030964.000000000000,280174.000000000000,486466.000000000000,766640.000000000000
NV,WUI-P,500,2480773.000000000000,239967.000000000000,1017748.000000000000,1257715.000000000000
NV,WUI-S,500,1001269.000000000000,72756.000000000000,445593.000000000000,518349.000000000000
NY,WUI-P,500,9555303.000000000000,1020853.000000000000,1471907.000000000000,2492760.000000000000
NY,WUI-S,500,4955024.000000000000,737412.000000000000,927496.000000000000,1664908.000000000000
OH,WUI-P,500,8176224.000000000000,393809.000000000000,458055.000000000000,851864.000000000000
OH,WUI-S,500,5526370.000000000000,388206.000000000000,419894.000000000000,808100.000000000000
OK,WUI-P,500,1320816.000000000000,145004.000000000000,283368.000000000000,428372.000000000000
OK,WUI-S,500,2154900.000000000000,493524.000000000000,574405.000000000000,1067929.000000000000
OR,WUI-P,500,12123802.000000000000,936072.000000000000,2233566.000000000000,3169638.000000000000
OR,WUI-S,500,1870052.000000000000,241757.000000000000,518666.000000000000,760423.000000000000
PA,WUI-P,500,6760739.000000000000,910011.000000000000,1413074.000000000000,2323085.000000000000
PA,WUI-S,500,4940642.000000000000,850345.000000000000,1272602.000000000000,2122947.000000000000
RI,WUI-P,500,517300.000000000000,55282.000000000000,74184.000000000000,129466.000000000000
RI,WUI-S,500,383490.000000000000,52979.000000000000,63129.000000000000,116108.000000000000
SC,WUI-P,500,3940011.000000000000,886487.000000000000,1150367.000000000000,2036854.000000000000
SC,WUI-S,500,2288957.000000000000,513491.000000000000,691970.000000000000,1205461.000000000000
SD,WUI-P,500,854479.000000000000,66768.000000000000,115240.000000000000,182008.000000000000
SD,WUI-S,500,657622.000000000000,89150.000000000000,95796.000000000000,184946.000000000000
TN,WUI-P,500,6357006.000000000000,631970.000000000000,826962.000000000000,1458932.000000000000
TN,WUI-S,500,3197235.000000000000,446651.000000000000,590904.000000000000,1037555.000000000000
TX,WUI-P,500,20991651.000000000000,2097607.000000000000,4265201.000000000000,6362808.000000000000
TX,WUI-S,500,10667078.000000000000,1155858.000000000000,2159438.000000000000,3315296.000000000000
UT,WUI-P,500,2436494.000000000000,191057.000000000000,1100607.000000000000,1291664.000000000000
UT,WUI-S,500,1080395.000000000000,88280.000000000000,477821.000000000000,566101.000000000000
VA,WUI-P,500,11722354.000000000000,2150434.000000000000,2918563.000000000000,5068997.000000000000
VA,WUI-S,500,3067415.000000000000,678254.000000000000,850978.000000000000,1529232.000000000000
VT,WUI-P,500,792688.000000000000,351754.000000000000,266460.000000000000,618214.000000000000
VT,WUI-S,500,345897.000000000000,153202.000000000000,122277.000000000000,275479.000000000000
WA,WUI-P,500,9148436.000000000000,824796.000000000000,2005042.000000000000,2829838.000000000000
WA,WUI-S,500,3123523.000000000000,422949.000000000000,846212.000000000000,1269161.000000000000
WI,WUI-P,500,9560331.000000000000,1538564.000000000000,1133128.000000000000,2671692.000000000000
WI,WUI-S,500,3161556.000000000000,391720.000000000000,407418.000000000000,799138.000000000000
WV,WUI-P,500,2108463.000000000000,893607.000000000000,852607.000000000000,1746214.000000000000
WV,WUI-S,500,1022049.000000000000,457505.000000000000,419130.000000000000,876635.000000000000
WY,WUI-P,500,926246.000000000000,196601.000000000000,523549.000000000000,720150.000000000000
WY,WUI-S,500,385215.000000000000,108494.000000000000,212488.000000000000,320982.000000000000
