state,STATEFP,state_name,method,buffer_m,nonwui_population,intermix_population,interface_population,wui_population,total_population,population_closure_error,wui_population_share_pct,selected_changed_cell_points,moved_0_to_1_points,moved_0_to_2_points,moved_1_to_0_points,moved_1_to_2_points,moved_2_to_0_points,moved_2_to_1_points,changed_0_to_1,changed_0_to_2,changed_1_to_0,changed_1_to_2,changed_2_to_0,changed_2_to_1,domain_difference_pixels,transition_audit_cells,classification_path,classification_sha256,population_source,status,points_processed,points_exact_unique_block_group,points_exact_ambiguous_block_group,points_outside_target_state_block_coverage,target_state_eligible_nodata_255,classified_structure_denominator,nodata_points_excluded_from_denominator
AL,1,Alabama,WUI-P,500,3017971.261348762084,584127.574609363219,1422180.164041874465,2006307.738651237683,5024279.000000000000,0.000000000000,39.932251745001,552748.000000000000,0.000000000000,96301.000000000000,0.000000000000,0.000000000000,456447.000000000000,0.000000000000,0.000000000000,51839.000000000000,0.000000000000,0.000000000000,233195.000000000000,0.000000000000,0.000000000000,1931059.000000000000,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<DATA_ROOT>/OpenAddresses_Work/Processed_GPKG/Alabama_addresses.gpkg,PASS,,,,,,,
AL,1,Alabama,WUI-S,500,2359467.921172488481,855282.253267379245,1809528.825560132042,2664811.078827511519,5024279.000000000000,0.000000000000,53.038676371824,,,,,,,,,,,,,,,,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-S/WUI_S_AL_r0500m_SILVIS_GT75.tif,1a8f24ca14156d73ce8d32f1d736601db52e70900389c5b5416264aa57503ae2,<DATA_ROOT>/mbf_work/centroids_5070/MBF_Alabama_centroids_5070.gpkg,PASS,2455168.000000000000,2448545.000000000000,0.000000000000,6623.000000000000,26.000000000000,2448545.000000000000,26.000000000000
AL,1,Alabama,WUI-Z,0,2376621.000000000000,901264.000000000000,1746394.000000000000,2647658.000000000000,5024279.000000000000,0.000000000000,52.697272583788,,,,,,,,,,,,,,,,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/AL/WUI_Z_AL_KETCHPAW_GT50_class.tif,34fd1702029bdf64a1b198c4d21673c5b5f63e683d9dd54ac6db5947ae84233c,,PASS,,,,,,,
AR,5,Arkansas,WUI-P,500,1796287.115040012635,462445.184833609441,752791.700126377749,1215236.884959987132,3011524.000000000000,0.000000000000,40.352887274350,481539.000000000000,0.000000000000,61520.000000000000,0.000000000000,0.000000000000,420018.000000000000,0.000000000000,0.000000000000,21159.000000000000,0.000000000000,0.000000000000,195209.000000000000,0.000000000000,0.000000000000,1427348.000000000000,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AR/rasters/WUI-P/WUI_P_AR_r0500m_SILVIS_GT75.tif,61a3db3712bc3d0869fda853b5b45da39ac438576f1c6a661482f6248ee4ceb4,<DATA_ROOT>/OpenAddresses_Work/Processed_GPKG/Arkansas_addresses.gpkg,PASS,,,,,,,
AR,5,Arkansas,WUI-S,500,1849774.728211020818,456912.560865276784,704836.710923702223,1161749.271788978716,3011524.000000000000,0.000000000000,38.576789419210,,,,,,,,,,,,,,,,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AR/rasters/WUI-S/WUI_S_AR_r0500m_SILVIS_GT75.tif,b6e269c6beb53655dd6110cefc498648546cd139b4666e940fe61bea48c20d0c,<DATA_ROOT>/mbf_work/centroids_5070/MBF_Arkansas_centroids_5070.gpkg,PASS,1571198.000000000000,1564952.000000000000,0.000000000000,6246.000000000000,10.000000000000,1564952.000000000000,10.000000000000
AR,5,Arkansas,WUI-Z,0,1915046.000000000000,421006.000000000000,675472.000000000000,1096478.000000000000,3011524.000000000000,0.000000000000,36.409406001745,,,,,,,,,,,,,,,,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/AR/WUI_Z_AR_KETCHPAW_GT50_class.tif,0be0a743d1d65a6be82d765568d709a3f4072fae3491a2b27a85fd5dae52b879,,PASS,,,,,,,
AZ,4,Arizona,WUI-P,500,4166212.029254713561,587789.427728148759,2397500.543017137796,2985289.970745286439,7151502.000000000000,0.000000000000,41.743538220996,592991.000000000000,0.000000000000,202347.000000000000,0.000000000000,0.000000000000,390644.000000000000,0.000000000000,0.000000000000,66416.000000000000,0.000000000000,0.000000000000,114663.000000000000,0.000000000000,0.000000000000,2579109.000000000000,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AZ/rasters/WUI-P/WUI_P_AZ_r0500m_SILVIS_GT75.tif,21262d2dd67a01a85fd64b37b17b15f95dd37c02540bd6070f128bbba5a4d90f,<DATA_ROOT>/OpenAddresses_Work/Processed_GPKG/Arizona_addresses.gpkg,PASS,,,,,,,
AZ,4,Arizona,WUI-S,500,4061590.377354505472,603707.168374178465,2486204.454271315597,3089911.622645494062,7151502.000000000000,0.000000000000,43.206470789570,,,,,,,,,,,,,,,,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AZ/rasters/WUI-S/WUI_S_AZ_r0500m_SILVIS_GT75.tif,1eca343dac949c4d23aba03ec11b654f787929553da037f0b61408d922c014b0,<DATA_ROOT>/mbf_work/centroids_5070/MBF_Arizona_centroids_5070.gpkg,PASS,2738732.000000000000,2729826.000000000000,0.000000000000,8906.000000000000,12.000000000000,2729826.000000000000,12.000000000000
AZ,4,Arizona,WUI-Z,0,4030394.000000000000,509733.000000000000,2611375.000000000000,3121108.000000000000,7151502.000000000000,0.000000000000,43.642692122578,,,,,,,,,,,,,,,,<PROJECT_ROOT>/step51_wuiz_ketchpaw_gt50_20260731T215644Z/states/AZ/WUI_Z_AZ_KETCHPAW_GT50_class.tif,f89a761b82b29001baf56b87181b87ebf7a02a4aaee9c32328eef45aa9d06ce7,,PASS,,,,,,,
CA,6,California,WUI-P,500,26461652.219981662929,1574126.517742480384,11502444.262275855988,13076570.780018335208,39538223.000000000000,0.000000000000,33.073238471082,1762337.000000000000,0.000000000000,455465.000000000000,0.000000000000,0.000000000000,1306872.000000000000,0.000000000000,0.000000000000,170840.000000000000,0.000000000000,0.000000000000,442889.000000000000,0.000000000000,0.000000000000,8722222.000000000000,<PROJECT_ROOT>/step47d_patch75_four_state_psz_20260729T150314Z/CA/rasters/WUI-P/WUI_P_CA_r0500m_SILVIS_GT75.tif,6aafa06a9f81aba1e5b5d6b02e6537dee5b050b87d7883f8e1dbd27c2d3c2c80,<DATA_ROOT>/OpenAddresses_Work/Processed_GPKG/California_addresses.gpkg,PASS,,,,,,,
