analysis_panel,state,radius_m,method_pair,intersection_pixels,intersection_area_km2,common_valid_pixels
five_state_radius_sensitivity,CA,100,WUI-P/WUI-S,15839418,14255.476199999999,
five_state_radius_sensitivity,CA,100,WUI-P/WUI-Z,15944185,14349.766500000000,
five_state_radius_sensitivity,CA,100,WUI-S/WUI-Z,14986213,13487.591700000001,
five_state_radius_sensitivity,CA,200,WUI-P/WUI-S,31983411,28785.069899999999,
five_state_radius_sensitivity,CA,200,WUI-P/WUI-Z,23981001,21582.900900000001,
five_state_radius_sensitivity,CA,200,WUI-S/WUI-Z,22232787,20009.508300000001,
five_state_radius_sensitivity,CA,300,WUI-P/WUI-S,33381406,30043.265400000000,
five_state_radius_sensitivity,CA,300,WUI-P/WUI-Z,24462465,22016.218499999999,
five_state_radius_sensitivity,CA,300,WUI-S/WUI-Z,23774549,21397.094099999998,
five_state_radius_sensitivity,CA,400,WUI-P/WUI-S,31908696,28717.826400000002,
five_state_radius_sensitivity,CA,400,WUI-P/WUI-Z,24225084,21802.575600000000,
five_state_radius_sensitivity,CA,400,WUI-S/WUI-Z,24113055,21701.749500000002,
five_state_radius_sensitivity,CA,500,WUI-P/WUI-S,37520470,33768.423000000003,
five_state_radius_sensitivity,CA,500,WUI-P/WUI-Z,26033343,23430.008699999998,
five_state_radius_sensitivity,CA,500,WUI-S/WUI-Z,25896552,23306.896799999999,
five_state_radius_sensitivity,CA,600,WUI-P/WUI-S,38684411,34815.969899999996,
five_state_radius_sensitivity,CA,600,WUI-P/WUI-Z,26475007,23827.506300000001,
five_state_radius_sensitivity,CA,600,WUI-S/WUI-Z,26428770,23785.893000000000,
five_state_radius_sensitivity,CA,700,WUI-P/WUI-S,38592623,34733.360699999997,
five_state_radius_sensitivity,CA,700,WUI-P/WUI-Z,26585190,23926.670999999998,
five_state_radius_sensitivity,CA,700,WUI-S/WUI-Z,26632064,23968.857599999999,
five_state_radius_sensitivity,CA,800,WUI-P/WUI-S,40987207,36888.486299999997,
five_state_radius_sensitivity,CA,800,WUI-P/WUI-Z,27249604,24524.643599999999,
five_state_radius_sensitivity,CA,800,WUI-S/WUI-Z,27298269,24568.442100000000,
five_state_radius_sensitivity,CA,900,WUI-P/WUI-S,42036824,37833.141600000003,
five_state_radius_sensitivity,CA,900,WUI-P/WUI-Z,27532122,24778.909800000001,
five_state_radius_sensitivity,CA,900,WUI-S/WUI-Z,27602667,24842.400300000001,
five_state_radius_sensitivity,CA,1000,WUI-P/WUI-S,42466596,38219.936399999999,
five_state_radius_sensitivity,CA,1000,WUI-P/WUI-Z,27656845,24891.160500000002,
five_state_radius_sensitivity,CA,1000,WUI-S/WUI-Z,27767672,24990.904800000000,
five_state_radius_sensitivity,CO,100,WUI-P/WUI-S,5936715,5343.043500000000,
five_state_radius_sensitivity,CO,100,WUI-P/WUI-Z,4876173,4388.555700000000,
five_state_radius_sensitivity,CO,100,WUI-S/WUI-Z,4574935,4117.441500000000,
five_state_radius_sensitivity,CO,200,WUI-P/WUI-S,15079518,13571.566199999999,
five_state_radius_sensitivity,CO,200,WUI-P/WUI-Z,7683494,6915.144600000000,
five_state_radius_sensitivity,CO,200,WUI-S/WUI-Z,7477134,6729.420599999999,
five_state_radius_sensitivity,CO,300,WUI-P/WUI-S,16843717,15159.345300000001,
five_state_radius_sensitivity,CO,300,WUI-P/WUI-Z,8462055,7615.849499999999,
five_state_radius_sensitivity,CO,300,WUI-S/WUI-Z,8065327,7258.794300000000,
five_state_radius_sensitivity,CO,400,WUI-P/WUI-S,14543069,13088.762100000000,
five_state_radius_sensitivity,CO,400,WUI-P/WUI-Z,8412874,7571.586600000000,
five_state_radius_sensitivity,CO,400,WUI-S/WUI-Z,8123910,7311.519000000000,
five_state_radius_sensitivity,CO,500,WUI-P/WUI-S,17430924,15687.831600000000,
five_state_radius_sensitivity,CO,500,WUI-P/WUI-Z,8876398,7988.758200000000,
five_state_radius_sensitivity,CO,500,WUI-S/WUI-Z,8859719,7973.747100000000,
five_state_radius_sensitivity,CO,600,WUI-P/WUI-S,17709302,15938.371800000001,
