state,radius_m,method_pair,common_valid_pixels,intersection_pixels,intersection_area_km2
AL,500,WUI-P/WUI-S,150852694,21381061,19242.954900000001
AL,500,WUI-P/WUI-Z,150852694,15056420,13550.778000000000
AL,500,WUI-S/WUI-Z,150852694,23272229,20945.006099999999
AR,500,WUI-P/WUI-S,153092005,23164279,20847.851100000000
AR,500,WUI-P/WUI-Z,153092005,12063119,10856.807100000000
AR,500,WUI-S/WUI-Z,153092005,12150090,10935.081000000000
AZ,500,WUI-P/WUI-S,328022112,12685349,11416.814100000000
AZ,500,WUI-P/WUI-Z,328022112,8141069,7326.962100000000
AZ,500,WUI-S/WUI-Z,328022112,8322535,7490.281500000000
CA,500,WUI-P/WUI-S,471072551,37520470,33768.423000000003
CA,500,WUI-P/WUI-Z,471072551,26033343,23430.008699999998
CA,500,WUI-S/WUI-Z,471072551,25896552,23306.896799999999
CO,500,WUI-P/WUI-S,299560551,17430924,15687.831600000000
CO,500,WUI-P/WUI-Z,299560551,8876398,7988.758200000000
CO,500,WUI-S/WUI-Z,299560551,8859719,7973.747100000000
CT,500,WUI-P/WUI-S,15953457,9274447,8347.002300000000
CT,500,WUI-P/WUI-Z,15953457,8391271,7552.143900000000
CT,500,WUI-S/WUI-Z,15953457,8472857,7625.571300000000
DC,500,WUI-P/WUI-S,196698,6559,5.903100000000
DC,500,WUI-P/WUI-Z,196698,234,0.210600000000
DC,500,WUI-S/WUI-Z,196698,234,0.210600000000
DE,500,WUI-P/WUI-S,7162140,1110098,999.088200000000
DE,500,WUI-P/WUI-Z,7162140,684589,616.130100000000
DE,500,WUI-S/WUI-Z,7162140,645013,580.511700000000
FL,500,WUI-P/WUI-S,205482681,31072018,27964.816200000001
FL,500,WUI-P/WUI-Z,205482681,22351926,20116.733400000001
FL,500,WUI-S/WUI-Z,205482681,19680813,17712.731700000000
GA,500,WUI-P/WUI-S,171005499,36722667,33050.400300000001
GA,500,WUI-P/WUI-Z,171005499,24649795,22184.815500000001
GA,500,WUI-S/WUI-Z,171005499,32061932,28855.738799999999
IA,500,WUI-P/WUI-S,161939734,1953036,1757.732400000000
IA,500,WUI-P/WUI-Z,161939734,610775,549.697500000000
IA,500,WUI-S/WUI-Z,161939734,645794,581.214600000000
ID,500,WUI-P/WUI-S,240490489,12059200,10853.280000000001
ID,500,WUI-P/WUI-Z,240490489,4235396,3811.856400000000
ID,500,WUI-S/WUI-Z,240490489,4057910,3652.119000000000
IL,500,WUI-P/WUI-S,166661185,3567799,3211.019100000000
IL,500,WUI-P/WUI-Z,166661185,1643325,1478.992500000000
IL,500,WUI-S/WUI-Z,166661185,2468304,2221.473600000000
IN,500,WUI-P/WUI-S,104811869,11010471,9909.423900000000
IN,500,WUI-P/WUI-Z,104811869,6429488,5786.539200000000
IN,500,WUI-S/WUI-Z,104811869,6846553,6161.897700000000
KS,500,WUI-P/WUI-S,236777598,6296488,5666.839199999999
KS,500,WUI-P/WUI-Z,236777598,1889811,1700.829900000000
KS,500,WUI-S/WUI-Z,236777598,2001553,1801.397700000000
KY,500,WUI-P/WUI-S,116278607,26509461,23858.514899999998
KY,500,WUI-P/WUI-Z,116278607,14688623,13219.760700000001
KY,500,WUI-S/WUI-Z,116278607,15578878,14020.990200000000
LA,500,WUI-P/WUI-S,150724058,13287277,11958.549300000001
LA,500,WUI-P/WUI-Z,150724058,8778198,7900.378200000000
LA,500,WUI-S/WUI-Z,150724058,12797233,11517.509700000001
MA,500,WUI-P/WUI-S,30372241,13707930,12337.137000000001
MA,500,WUI-P/WUI-Z,30372241,11662905,10496.614500000000
MA,500,WUI-S/WUI-Z,30372241,11759554,10583.598599999999
MD,500,WUI-P/WUI-S,35701204,9587813,8629.031700000000
MD,500,WUI-P/WUI-Z,35701204,7110244,6399.219599999999
MD,500,WUI-S/WUI-Z,35701204,6567430,5910.687000000000
ME,500,WUI-P/WUI-S,101814710,19329105,17396.194499999998
ME,500,WUI-P/WUI-Z,101814710,14209503,12788.552700000000
ME,500,WUI-S/WUI-Z,101814710,14789517,13310.565300000000
MI,500,WUI-P/WUI-S,278318737,13352098,12016.888199999999
MI,500,WUI-P/WUI-Z,278318737,9691900,8722.709999999999
MI,500,WUI-S/WUI-Z,278318737,24806273,22325.645700000001
MN,500,WUI-P/WUI-S,250201884,19939398,17945.458200000001
MN,500,WUI-P/WUI-Z,250201884,8042678,7238.410199999999
MN,500,WUI-S/WUI-Z,250201884,7926916,7134.224400000000
MO,500,WUI-P/WUI-S,200599680,4260703,3834.632700000000
MO,500,WUI-P/WUI-Z,200599680,2306541,2075.886900000000
MO,500,WUI-S/WUI-Z,200599680,10675240,9607.716000000000
MS,500,WUI-P/WUI-S,139387019,37174726,33457.253400000001
MS,500,WUI-P/WUI-Z,139387019,22083199,19874.879099999998
MS,500,WUI-S/WUI-Z,139387019,18609815,16748.833500000001
MT,500,WUI-P/WUI-S,423156033,13094735,11785.261500000001
MT,500,WUI-P/WUI-Z,423156033,5013467,4512.120300000000
MT,500,WUI-S/WUI-Z,423156033,4574823,4117.340700000000
NC,500,WUI-P/WUI-S,154877123,55330965,49797.868499999997
