analysis_panel,state,radius_m,method_pair,common_valid_pixels,union_pixels,jaccard,union_area_km2
five_state_radius_sensitivity,CA,100,WUI-P/WUI-S,471072551.000000000000,30537336,0.518690235455,
five_state_radius_sensitivity,CA,100,WUI-P/WUI-Z,471072551.000000000000,43249650,0.368654659633,
five_state_radius_sensitivity,CA,100,WUI-S/WUI-Z,471072551.000000000000,38594502,0.388299167586,
five_state_radius_sensitivity,CA,200,WUI-P/WUI-S,471072551.000000000000,65671350,0.487022285974,
five_state_radius_sensitivity,CA,200,WUI-P/WUI-Z,471072551.000000000000,68339692,0.350908824699,
five_state_radius_sensitivity,CA,200,WUI-S/WUI-Z,471072551.000000000000,49499077,0.449155587285,
five_state_radius_sensitivity,CA,300,WUI-P/WUI-S,471072551.000000000000,58007301,0.575469043112,
five_state_radius_sensitivity,CA,300,WUI-P/WUI-Z,471072551.000000000000,58421303,0.418725083896,
five_state_radius_sensitivity,CA,300,WUI-S/WUI-Z,471072551.000000000000,51128186,0.464998875571,
five_state_radius_sensitivity,CA,400,WUI-P/WUI-S,471072551.000000000000,50271326,0.634729547416,
five_state_radius_sensitivity,CA,400,WUI-P/WUI-Z,471072551.000000000000,50999100,0.475010029589,
five_state_radius_sensitivity,CA,400,WUI-S/WUI-Z,471072551.000000000000,49240579,0.489698851835,
five_state_radius_sensitivity,CA,500,WUI-P/WUI-S,471072551.000000000000,58230235,0.644346875811,
five_state_radius_sensitivity,CA,500,WUI-P/WUI-Z,471072551.000000000000,56209130,0.463151502256,
five_state_radius_sensitivity,CA,500,WUI-S/WUI-Z,471072551.000000000000,54009476,0.479481637630,
five_state_radius_sensitivity,CA,600,WUI-P/WUI-S,471072551.000000000000,58638884,0.659705784987,
five_state_radius_sensitivity,CA,600,WUI-P/WUI-Z,471072551.000000000000,56380075,0.469580911341,
five_state_radius_sensitivity,CA,600,WUI-S/WUI-Z,471072551.000000000000,54437239,0.485490639964,
five_state_radius_sensitivity,CA,700,WUI-P/WUI-S,471072551.000000000000,57121873,0.675619005000,
five_state_radius_sensitivity,CA,700,WUI-P/WUI-Z,471072551.000000000000,55337325,0.480420584118,
five_state_radius_sensitivity,CA,700,WUI-S/WUI-Z,471072551.000000000000,53557713,0.497259171615,
five_state_radius_sensitivity,CA,800,WUI-P/WUI-S,471072551.000000000000,59631524,0.687341262652,
five_state_radius_sensitivity,CA,800,WUI-P/WUI-Z,471072551.000000000000,57170639,0.476636337754,
five_state_radius_sensitivity,CA,800,WUI-S/WUI-Z,471072551.000000000000,55298015,0.493657303974,
five_state_radius_sensitivity,CA,900,WUI-P/WUI-S,471072551.000000000000,60582263,0.693880055289,
five_state_radius_sensitivity,CA,900,WUI-P/WUI-Z,471072551.000000000000,57997488,0.474712318575,
five_state_radius_sensitivity,CA,900,WUI-S/WUI-Z,471072551.000000000000,55884606,0.493922548188,
five_state_radius_sensitivity,CA,1000,WUI-P/WUI-S,471072551.000000000000,60422934,0.702822474658,
five_state_radius_sensitivity,CA,1000,WUI-P/WUI-Z,471072551.000000000000,57922276,0.477482014001,
five_state_radius_sensitivity,CA,1000,WUI-S/WUI-Z,471072551.000000000000,55940533,0.496378395251,
five_state_radius_sensitivity,CO,100,WUI-P/WUI-S,299560551.000000000000,12104813,0.490442520673,
five_state_radius_sensitivity,CO,100,WUI-P/WUI-Z,299560551.000000000000,16124128,0.302414679417,
five_state_radius_sensitivity,CO,100,WUI-S/WUI-Z,299560551.000000000000,15564690,0.293930364177,
five_state_radius_sensitivity,CO,200,WUI-P/WUI-S,299560551.000000000000,29734976,0.507130659867,
five_state_radius_sensitivity,CO,200,WUI-P/WUI-Z,299560551.000000000000,27722277,0.277159556554,
five_state_radius_sensitivity,CO,200,WUI-S/WUI-Z,299560551.000000000000,25029987,0.298727042887,
five_state_radius_sensitivity,CO,300,WUI-P/WUI-S,299560551.000000000000,30922792,0.544702334770,
five_state_radius_sensitivity,CO,300,WUI-P/WUI-Z,299560551.000000000000,28185549,0.300226722566,
five_state_radius_sensitivity,CO,300,WUI-S/WUI-Z,299560551.000000000000,26151976,0.308402202572,
five_state_radius_sensitivity,CO,400,WUI-P/WUI-S,299560551.000000000000,26277238,0.553447398087,
five_state_radius_sensitivity,CO,400,WUI-P/WUI-Z,299560551.000000000000,23809932,0.353334650431,
five_state_radius_sensitivity,CO,400,WUI-S/WUI-Z,299560551.000000000000,23571989,0.344642533135,
five_state_radius_sensitivity,CO,500,WUI-P/WUI-S,,30335854,0.574598097683,
five_state_radius_sensitivity,CO,500,WUI-P/WUI-Z,299560551.000000000000,25932035,0.342294694574,
five_state_radius_sensitivity,CO,500,WUI-S/WUI-Z,299560551.000000000000,27197024,0.325760605278,
five_state_radius_sensitivity,CO,600,WUI-P/WUI-S,299560551.000000000000,29841575,0.593443945234,
five_state_radius_sensitivity,CO,600,WUI-P/WUI-Z,299560551.000000000000,26091841,0.346573283196,
five_state_radius_sensitivity,CO,600,WUI-S/WUI-Z,299560551.000000000000,26470923,0.341649439273,
five_state_radius_sensitivity,CO,700,WUI-P/WUI-S,299560551.000000000000,28285157,0.611775250178,
five_state_radius_sensitivity,CO,700,WUI-P/WUI-Z,299560551.000000000000,25840011,0.353348069395,
five_state_radius_sensitivity,CO,700,WUI-S/WUI-Z,299560551.000000000000,24641112,0.368330495799,
five_state_radius_sensitivity,CO,800,WUI-P/WUI-S,299560551.000000000000,28949456,0.631834463487,
five_state_radius_sensitivity,CO,800,WUI-P/WUI-Z,299560551.000000000000,26484053,0.350858911210,
five_state_radius_sensitivity,CO,800,WUI-S/WUI-Z,299560551.000000000000,25247422,0.368967453390,
five_state_radius_sensitivity,CO,900,WUI-P/WUI-S,299560551.000000000000,29295921,0.639572997210,
five_state_radius_sensitivity,CO,900,WUI-P/WUI-Z,299560551.000000000000,27156755,0.345743959468,
five_state_radius_sensitivity,CO,900,WUI-S/WUI-Z,299560551.000000000000,25180571,0.373485930879,
five_state_radius_sensitivity,CO,1000,WUI-P/WUI-S,299560551.000000000000,28742226,0.650052191504,
