state,radius_m,method_pair,common_valid_pixels,union_pixels,union_area_km2,jaccard
AL,500,WUI-P/WUI-S,150852694,50541110,45486.999000000003,0.423042964430
AL,500,WUI-P/WUI-Z,150852694,45496700,40947.029999999999,0.330934331501
AL,500,WUI-S/WUI-Z,150852694,54220886,48798.797400000003,0.429211521922
AR,500,WUI-P/WUI-S,153092005,32403953,29163.557700000001,0.714859665424
AR,500,WUI-P/WUI-Z,153092005,32238900,29015.009999999998,0.374178988737
AR,500,WUI-S/WUI-Z,153092005,34007813,30607.031700000000,0.357273488889
AZ,500,WUI-P/WUI-S,328022112,20712218,18640.996200000001,0.612457294530
AZ,500,WUI-P/WUI-Z,328022112,19631954,17668.758600000001,0.414684600422
AZ,500,WUI-S/WUI-Z,328022112,19659913,17693.921699999999,0.423325118478
CA,500,WUI-P/WUI-S,471072551,58230235,52407.211499999998,0.644346875811
CA,500,WUI-P/WUI-Z,471072551,56209130,50588.216999999997,0.463151502256
CA,500,WUI-S/WUI-Z,471072551,54009476,48608.528400000003,0.479481637630
CO,500,WUI-P/WUI-S,299560551,30335854,27302.268599999999,0.574598097683
CO,500,WUI-P/WUI-Z,299560551,25932035,23338.831500000000,0.342294694574
CO,500,WUI-S/WUI-Z,299560551,27197024,24477.321599999999,0.325760605278
CT,500,WUI-P/WUI-S,15953457,9993494,8994.144600000000,0.928048488347
CT,500,WUI-P/WUI-Z,15953457,10988470,9889.623000000000,0.763643255157
CT,500,WUI-S/WUI-Z,15953457,11107385,9996.646500000001,0.762812939319
DC,500,WUI-P/WUI-S,196698,7661,6.894900000000,0.856154549014
DC,500,WUI-P/WUI-Z,196698,9469,8.522100000000,0.024712218819
DC,500,WUI-S/WUI-Z,196698,8375,7.537500000000,0.027940298507
DE,500,WUI-P/WUI-S,7162140,1296075,1166.467500000000,0.856507532357
DE,500,WUI-P/WUI-Z,7162140,1767002,1590.301800000000,0.387429669010
DE,500,WUI-S/WUI-Z,7162140,1727111,1554.399900000000,0.373463546929
FL,500,WUI-P/WUI-S,205482681,46536171,41882.553899999999,0.667696059480
FL,500,WUI-P/WUI-Z,205482681,52860194,47574.174599999998,0.422849866953
FL,500,WUI-S/WUI-Z,205482681,41674802,37507.321799999998,0.472247306658
GA,500,WUI-P/WUI-S,171005499,62185381,55966.842900000003,0.590535370363
GA,500,WUI-P/WUI-Z,171005499,62225856,56003.270400000001,0.396134285401
GA,500,WUI-S/WUI-Z,171005499,67964037,61167.633300000001,0.471748492515
IA,500,WUI-P/WUI-S,161939734,3934057,3540.651300000000,0.496443239129
IA,500,WUI-P/WUI-Z,161939734,3176886,2859.197400000000,0.192255875722
IA,500,WUI-S/WUI-Z,161939734,3825098,3442.588200000000,0.168830707083
ID,500,WUI-P/WUI-S,240490489,15821910,14239.718999999999,0.762183579606
ID,500,WUI-P/WUI-Z,240490489,15657754,14091.978600000000,0.270498310294
ID,500,WUI-S/WUI-Z,240490489,14779126,13301.213400000001,0.274570363633
IL,500,WUI-P/WUI-S,166661185,10059255,9053.329500000000,0.354678254006
IL,500,WUI-P/WUI-Z,166661185,7855413,7069.871700000000,0.209196512010
IL,500,WUI-S/WUI-Z,166661185,10308364,9277.527599999999,0.239446725009
IN,500,WUI-P/WUI-S,104811869,14725909,13253.318100000000,0.747693809598
IN,500,WUI-P/WUI-Z,104811869,15724531,14152.077900000000,0.408882656023
IN,500,WUI-S/WUI-Z,104811869,17458762,15712.885800000000,0.392155698096
KS,500,WUI-P/WUI-S,236777598,17105550,15394.995000000001,0.368096202694
KS,500,WUI-P/WUI-Z,236777598,8796087,7916.478300000000,0.214846783575
KS,500,WUI-S/WUI-Z,236777598,16357673,14721.905699999999,0.122361719787
KY,500,WUI-P/WUI-S,116278607,35225330,31702.796999999999,0.752568137758
KY,500,WUI-P/WUI-Z,116278607,38178671,34360.803899999999,0.384733743089
KY,500,WUI-S/WUI-Z,116278607,41515729,37364.156100000000,0.375252425412
LA,500,WUI-P/WUI-S,150724058,27245569,24521.012100000000,0.487685795808
LA,500,WUI-P/WUI-Z,150724058,26838533,24154.679700000001,0.327074434359
LA,500,WUI-S/WUI-Z,150724058,30999612,27899.650799999999,0.412819134639
MA,500,WUI-P/WUI-S,30372241,14708079,13237.271100000000,0.932000025292
MA,500,WUI-P/WUI-Z,30372241,16549692,14894.722800000000,0.704720365793
MA,500,WUI-S/WUI-Z,30372241,16780600,15102.540000000001,0.700782689534
MD,500,WUI-P/WUI-S,35701204,11718957,10547.061299999999,0.818145590943
