state,method,buffer_m,variable,formal_fdr_cluster_type,county_count
AL,WUI-P,500,p_a,NOT_SIGNIFICANT,67
AL,WUI-P,500,p_s,NOT_SIGNIFICANT,59
AL,WUI-S,500,p_a,NOT_SIGNIFICANT,67
AL,WUI-S,500,p_s,LL,5
AL,WUI-S,500,p_s,NOT_SIGNIFICANT,62
AL,WUI-Z,500,p_a,HH,6
AL,WUI-Z,500,p_a,LL,5
AL,WUI-Z,500,p_a,NOT_SIGNIFICANT,56
AR,WUI-P,500,p_a,HH,4
AR,WUI-P,500,p_a,LL,12
AR,WUI-P,500,p_a,NOT_SIGNIFICANT,59
AR,WUI-P,500,p_s,HH,6
AR,WUI-P,500,p_s,HL,1
AR,WUI-P,500,p_s,LL,9
AR,WUI-P,500,p_s,NOT_SIGNIFICANT,59
AR,WUI-S,500,p_a,HH,7
AR,WUI-S,500,p_a,LL,13
AR,WUI-S,500,p_a,NOT_SIGNIFICANT,55
AR,WUI-S,500,p_s,HH,5
AR,WUI-S,500,p_s,LL,9
AR,WUI-S,500,p_s,NOT_SIGNIFICANT,61
AR,WUI-Z,500,p_a,HH,1
AR,WUI-Z,500,p_a,LH,1
AR,WUI-Z,500,p_a,LL,5
AR,WUI-Z,500,p_a,NOT_SIGNIFICANT,68
AZ,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,15
AZ,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,15
AZ,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,15
AZ,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,15
AZ,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,15
CA,WUI-P,500,p_a,NOT_SIGNIFICANT,58
CA,WUI-P,500,p_s,NOT_SIGNIFICANT,58
CA,WUI-S,500,p_a,NOT_SIGNIFICANT,58
CA,WUI-S,500,p_s,NOT_SIGNIFICANT,58
CA,WUI-Z,500,p_a,NOT_SIGNIFICANT,58
CO,WUI-P,500,p_a,HH,3
CO,WUI-P,500,p_a,LL,4
CO,WUI-P,500,p_a,NOT_SIGNIFICANT,57
CO,WUI-P,500,p_s,NOT_SIGNIFICANT,58
CO,WUI-S,500,p_a,NOT_SIGNIFICANT,64
CO,WUI-S,500,p_s,HH,3
CO,WUI-S,500,p_s,HL,1
CO,WUI-S,500,p_s,LL,4
CO,WUI-S,500,p_s,NOT_SIGNIFICANT,56
CO,WUI-Z,500,p_a,HH,6
CO,WUI-Z,500,p_a,LL,4
CO,WUI-Z,500,p_a,NOT_SIGNIFICANT,54
CT,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,9
CT,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,9
CT,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,9
CT,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,9
CT,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,9
DC,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,1
DC,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,1
DC,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,1
DC,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,1
DC,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,1
DE,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,3
DE,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,3
DE,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,3
DE,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,3
DE,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,3
FL,WUI-P,500,p_a,NOT_SIGNIFICANT,67
FL,WUI-P,500,p_s,HH,3
FL,WUI-P,500,p_s,LL,3
FL,WUI-P,500,p_s,NOT_SIGNIFICANT,61
FL,WUI-S,500,p_a,NOT_SIGNIFICANT,67
FL,WUI-S,500,p_s,HH,4
FL,WUI-S,500,p_s,LL,3
FL,WUI-S,500,p_s,NOT_SIGNIFICANT,60
FL,WUI-Z,500,p_a,HH,3
FL,WUI-Z,500,p_a,LH,1
FL,WUI-Z,500,p_a,LL,6
FL,WUI-Z,500,p_a,NOT_SIGNIFICANT,57
GA,WUI-P,500,p_a,NOT_SIGNIFICANT,159
GA,WUI-P,500,p_s,HH,2
GA,WUI-P,500,p_s,LH,2
GA,WUI-P,500,p_s,LL,6
GA,WUI-P,500,p_s,NOT_SIGNIFICANT,144
GA,WUI-S,500,p_a,HH,11
GA,WUI-S,500,p_a,LL,16
GA,WUI-S,500,p_a,NOT_SIGNIFICANT,132
GA,WUI-S,500,p_s,LH,1
GA,WUI-S,500,p_s,LL,9
GA,WUI-S,500,p_s,NOT_SIGNIFICANT,149
GA,WUI-Z,500,p_a,HH,17
GA,WUI-Z,500,p_a,LH,1
GA,WUI-Z,500,p_a,LL,17
GA,WUI-Z,500,p_a,NOT_SIGNIFICANT,124
IA,WUI-P,500,p_a,NOT_SIGNIFICANT,99
IA,WUI-P,500,p_s,NOT_SIGNIFICANT,99
IA,WUI-S,500,p_a,HH,3
IA,WUI-S,500,p_a,LL,4
IA,WUI-S,500,p_a,NOT_SIGNIFICANT,92
IA,WUI-S,500,p_s,NOT_SIGNIFICANT,99
IA,WUI-Z,500,p_a,NOT_SIGNIFICANT,99
ID,WUI-P,500,p_a,NOT_SIGNIFICANT,44
ID,WUI-P,500,p_s,NOT_SIGNIFICANT,44
ID,WUI-S,500,p_a,LH,1
ID,WUI-S,500,p_a,LL,2
ID,WUI-S,500,p_a,NOT_SIGNIFICANT,41
ID,WUI-S,500,p_s,NOT_SIGNIFICANT,44
ID,WUI-Z,500,p_a,NOT_SIGNIFICANT,44
IL,WUI-P,500,p_a,NOT_SIGNIFICANT,102
IL,WUI-P,500,p_s,NOT_SIGNIFICANT,83
IL,WUI-S,500,p_a,HH,7
IL,WUI-S,500,p_a,LL,2
IL,WUI-S,500,p_a,NOT_SIGNIFICANT,93
IL,WUI-S,500,p_s,NOT_SIGNIFICANT,102
IL,WUI-Z,500,p_a,HH,6
IL,WUI-Z,500,p_a,HL,1
IL,WUI-Z,500,p_a,NOT_SIGNIFICANT,95
IN,WUI-P,500,p_a,HH,6
IN,WUI-P,500,p_a,LL,11
IN,WUI-P,500,p_a,NOT_SIGNIFICANT,75
IN,WUI-P,500,p_s,HH,5
IN,WUI-P,500,p_s,LH,1
IN,WUI-P,500,p_s,LL,11
IN,WUI-P,500,p_s,NOT_SIGNIFICANT,75
IN,WUI-S,500,p_a,HH,7
IN,WUI-S,500,p_a,LL,10
IN,WUI-S,500,p_a,NOT_SIGNIFICANT,75
IN,WUI-S,500,p_s,HH,5
IN,WUI-S,500,p_s,LH,1
IN,WUI-S,500,p_s,LL,11
IN,WUI-S,500,p_s,NOT_SIGNIFICANT,75
IN,WUI-Z,500,p_a,HH,4
IN,WUI-Z,500,p_a,LL,11
IN,WUI-Z,500,p_a,NOT_SIGNIFICANT,77
KS,WUI-P,500,p_a,HH,3
KS,WUI-P,500,p_a,LH,3
KS,WUI-P,500,p_a,LL,1
KS,WUI-P,500,p_a,NOT_SIGNIFICANT,98
KS,WUI-P,500,p_s,NOT_SIGNIFICANT,100
KS,WUI-S,500,p_a,HH,10
KS,WUI-S,500,p_a,LH,1
KS,WUI-S,500,p_a,LL,12
KS,WUI-S,500,p_a,NOT_SIGNIFICANT,82
KS,WUI-S,500,p_s,LL,12
KS,WUI-S,500,p_s,NOT_SIGNIFICANT,93
KS,WUI-Z,500,p_a,NOT_SIGNIFICANT,105
KY,WUI-P,500,p_a,HH,9
KY,WUI-P,500,p_a,LL,4
KY,WUI-P,500,p_a,NOT_SIGNIFICANT,107
KY,WUI-P,500,p_s,HH,21
KY,WUI-P,500,p_s,LL,4
KY,WUI-P,500,p_s,NOT_SIGNIFICANT,95
KY,WUI-S,500,p_a,HH,11
KY,WUI-S,500,p_a,LL,7
KY,WUI-S,500,p_a,NOT_SIGNIFICANT,102
