fdr_family_id,state,method,variable,frozen_weight_variable,fdr_n_tests,n_islands_excluded,fdr_alpha,fdr_critical_p,raw_significant_count,fdr_significant_count,formal_p_value_field,status,analysis_scope,frozen_weight_method
AL__WUIP__p_a,AL,WUI-P,p_a,area_proportion,67,0,0.050000000000,0.000746268657,13,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
AL__WUIP__p_s,AL,WUI-P,p_s,structure_proportion,59,0,0.050000000000,0.000847457627,6,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
AL__WUIS__p_a,AL,WUI-S,p_a,area_proportion,67,0,0.050000000000,0.000746268657,19,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
AL__WUIS__p_s,AL,WUI-S,p_s,structure_proportion,67,0,0.050000000000,0.003731343284,13,5,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
AL__WUIZ__p_a,AL,WUI-Z,p_a,area_proportion,67,0,0.050000000000,0.008208955224,19,11,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
AR__WUIP__p_a,AR,WUI-P,p_a,area_proportion,75,0,0.050000000000,0.010666666667,21,16,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
AR__WUIP__p_s,AR,WUI-P,p_s,structure_proportion,75,0,0.050000000000,0.010666666667,26,16,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
AR__WUIS__p_a,AR,WUI-S,p_a,area_proportion,75,0,0.050000000000,0.013333333333,22,20,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
AR__WUIS__p_s,AR,WUI-S,p_s,structure_proportion,75,0,0.050000000000,0.009333333333,27,14,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
AR__WUIZ__p_a,AR,WUI-Z,p_a,area_proportion,75,0,0.050000000000,0.004666666667,15,7,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
CA__WUIP__p_a,CA,WUI-P,p_a,area_proportion,58,0,0.050000000000,0.000862068966,3,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
CA__WUIP__p_s,CA,WUI-P,p_s,structure_proportion,58,0,0.050000000000,0.000862068966,4,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
