state,STATEFP,state_name,method,buffer_m,GEOID_INT,land_pix,NonWUI_pix,Intermix_pix,Interface_pix,Land_km2,Intermix_km2,Interface_km2,WUI_km2,Total_struct,Intermix_struct,Interface_struct,WUI_struct,p_a,p_s,classification_sha256,classification_path,county_raster_path,structure_raster_path
AL,01,Alabama,WUI-P,500,1001,1739198,849798,672157,217243,1565.278200000000,604.941300000000,195.518700000000,800.460000000000,88272.000000000000,27208.000000000000,38453.000000000000,65661.000000000000,0.511385132688,0.743848558999,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1003,5833988,4105509,1162804,565675,5250.589199999999,1046.523600000000,509.107500000000,1555.631100000000,154026.000000000000,32257.000000000000,51357.000000000000,83614.000000000000,0.296277434921,0.542856400867,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1005,2602964,2602599,365,0,2342.667600000000,0.328500000000,0.000000000000,0.328500000000,16.000000000000,7.000000000000,0.000000000000,7.000000000000,0.000140224759,0.437500000000,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1007,1801975,1211446,500562,89967,1621.777500000000,450.505800000000,80.970300000000,531.476100000000,14130.000000000000,7699.000000000000,4530.000000000000,12229.000000000000,0.327712093675,0.865463552725,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1009,1872372,753600,792887,325885,1685.134800000000,713.598300000000,293.296500000000,1006.894800000000,58787.000000000000,22828.000000000000,18404.000000000000,41232.000000000000,0.597515878255,0.701379556705,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1011,1799023,1348872,361635,88516,1619.120700000000,325.471500000000,79.664400000000,405.135900000000,20839.000000000000,8923.000000000000,7838.000000000000,16761.000000000000,0.250219702583,0.804309227890,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1013,2238553,2238553,0,0,2014.697700000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1015,1761950,718638,614147,429165,1585.755000000000,552.732300000000,386.248500000000,938.980800000000,66603.000000000000,14278.000000000000,43227.000000000000,57505.000000000000,0.592134850592,0.863399546567,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1017,1735593,1735593,0,0,1562.033700000000,0.000000000000,0.000000000000,0.000000000000,815.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
AL,01,Alabama,WUI-P,500,1019,1726601,1110547,377036,239018,1553.940900000000,339.332400000000,215.116200000000,554.448600000000,61987.000000000000,15703.000000000000,18833.000000000000,34536.000000000000,0.356801600370,0.557149079646,46c5870f529efae506506b505e4d5be909533a2cb32f6a0cfabb6f4f690da2b4,<PROJECT_ROOT>/step49_patch75_remaining44_500m_20260729T231000Z/states/AL/rasters/WUI-P/WUI_P_AL_r0500m_SILVIS_GT75.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/county_id_state_01.tif,<LEGACY_ROOT>/WUI_tables_compare/_cache_table5_all49_500m/state_01/WUI-P/struct_count_state_01_WUI-P.tif
